Title,Location,Department,Type,Module,Qualification Needed,Description
Senior Executive – Raw Material Procurement,Delhi NCR,Purchase & Procurement,Full-time,API,B.Pharm / MBA,"Source APIs and critical excipients, negotiate contracts, and ensure vendor qualification status. Monitor lead times and alternate supplier strategy."
Assistant Manager – Demand Planning,Indore,Supply Chain,Full-time,OSD,B.Pharm / BBA,"Forecast finished goods demand, align production plans, and coordinate with sales and manufacturing on S&OP cycles."
Territory Manager – OSD (Domestic),Baddi,Sales & Marketing,Full-time,OSD,B.Pharm,Promote branded generic portfolio to physicians and chemists in assigned territory. Achieve prescription and sales targets with compliance to UCPMP.
Product Manager – Injectables,Visakhapatnam,Sales & Marketing,Part-time,Injectables,M.Pharm / MBA,"Own injectable brand P&L, launch plans, and competitive intelligence. Work with medical affairs on scientific messaging and congress strategy."
CSV Specialist – IT QA,Ankleshwar,CSV IT QA,Contract,Others,B.Tech / B.Pharm,"Execute computer system validation for MES, LIMS, and ERP interfaces. Draft URS, risk assessments, IQ/OQ/PQ protocols per GAMP 5."
Safety Officer,Kolkata,EHS,Full-time,Others,Diploma / B.Sc,"Implement site safety programs, incident investigations, and permit-to-work systems. Conduct training for production and warehouse staff."
Trainee – Production (Fresher),Nagpur,Production OSD,Full-time,OSD,B.Pharm / D.Pharm,"Rotational training across granulation, compression, and packing for fresh pharmacy graduates. Mentorship under GMP-qualified supervisors."
Officer – IPQA (API Block),Ahmedabad,Quality Assurance,Full-time,API,B.Pharm,"Batch disposition for API manufacturing, in-process checks, and cleaning validation support. Experience with hydrogenation or cryogenic steps is a plus."
Executive – AQA,Mumbai,Quality Assurance,Part-time,Injectables,B.Pharm,Support audit readiness for sterile manufacturing areas. Review environmental monitoring trends and aseptic process simulation records.
Senior Officer – Market Complaints,Hyderabad,Quality Assurance,Contract,OSD,M.Pharm,"Investigate product complaints, trend signal detection, and field alert reporting. Coordinate with QC and RA on recall assessment if required."
Analyst – In-Process QC,Bangalore,Quality Control,Full-time,OSD,B.Sc / B.Pharm,"Perform in-process assays on compression and coating floors. Rapid turnaround for blend uniformity, hardness, and dissolution screening."
Scientist – Method Validation,Pune,Quality Control,Full-time,"API, Injectables",M.Sc,Validate compendial and non-compendial methods. Prepare validation reports for regulatory filings and method transfer to contract labs.
Assistant Manager – Quality Assurance,Vadodara,Quality Assurance,Full-time,OSD,B. Pharma / M Pharma,"Lead IPQA batch release activities for oral solid dosage lines. Coordinate deviation investigations, change controls, and batch documentation review with production and QC."
Executive – QMS,Goa,Quality Assurance,Part-time,OSD,B.Pharm,"Maintain quality management system records, CAPA tracking, and internal audit schedules. Support regulatory inspections and site quality metrics reporting."
Deputy Manager – Validations,Chennai,Quality Assurance,Contract,"OSD, API",M.Pharm,"Plan and execute process, cleaning, and computer system validation protocols. Work with engineering and production on qualification lifecycle documentation."
Senior Executive – QC (Finished Products),Delhi NCR,Quality Control,Full-time,OSD,B.Pharm,Review analytical data for finished product release. Ensure compliance with pharmacopoeial methods and stability sample management.
Executive – Stability Studies,Indore,Quality Control,Full-time,OSD,M.Sc,"Manage stability chambers, sample pull schedules, and trending reports. Coordinate with AR&D on method transfers for stability-indicating tests."
Manager – QC Microbiology,Baddi,Quality Control,Full-time,API,M.Pharm,"Oversee environmental monitoring, media fill support, and microbiological testing for API and formulation areas. Guide team on data integrity and GMP practices."
Production Operator – Granulation,Visakhapatnam,Production OSD,Part-time,OSD,D.Pharm / B.Pharm,"Operate RMG, fluid bed, and related granulation equipment per batch records. Report deviations and support line clearance and equipment logs."
Senior Technical Associate – Compression,Ankleshwar,Production OSD,Contract,OSD,Diploma / ITI,"Run tablet compression machines, in-process checks, and metal detector challenges. Assist supervisors with changeover and preventive maintenance coordination."
Supervisor – Coating,Kolkata,Production OSD,Full-time,OSD,B.Pharm,"Supervise coating pan / perforated pan operations, spray rate monitoring, and coating uniformity sampling. Train operators on GMP and safety procedures."
Officer – Injectable Filling,Nagpur,Production Injectables,Full-time,Injectables,B.Pharm,"Support aseptic filling lines, environmental monitoring hooks, and line clearance. Experience with vial / ampoule filling preferred."
Management Associate – Lyophilization,Ahmedabad,Production Injectables,Full-time,Injectables,M.Pharm,"Coordinate lyophilization cycles, load patterns, and IPC for sterile injectable products. Interface with QA for batch record review and deviation handling."
Technical Associate – Blister Packing,Mumbai,Packing,Part-time,OSD,Diploma,"Operate blister packing and cartoning equipment. Perform line clearance, code verification, and packaging material reconciliation."
Senior Executive – HVAC & Utilities,Hyderabad,Engineering,Contract,"OSD, API",B.E / B.Tech,"Maintain HVAC, purified water, and compressed air systems for manufacturing blocks. Support qualification and calibration of utility equipment."
Research Scientist – Process R&D,Bangalore,Research and Development,Full-time,API,M.Pharm / PhD,"Develop and scale API processes from lab to pilot. Author development reports, impurity profiling strategies, and tech transfer packages."
Senior Research Scientist – OSD Formulations,Pune,Formulation R&D,Full-time,OSD,M.Pharm,Lead formulation development for immediate and modified release solid oral products. Design DOE studies and stability protocols for registration batches.
Manager – Injectable Formulations,Vadodara,Formulation R&D,Full-time,Injectables,M.Pharm,Guide parenteral formulation development including lyophilized and liquid presentations. Collaborate with AR&D on analytical method alignment.
Deputy Manager – Analytical Method Development,Goa,Analytical R&D,Part-time,"API, OSD",M.Sc / M.Pharm,Develop and validate HPLC/GC methods for APIs and finished products. Prepare method validation protocols and regulatory submission sections.
Manager – Regulatory Affairs (CMC),Chennai,Regulatory Affairs,Contract,"OSD, API",M.Pharm,Prepare Module 2/3 dossiers for US/EU/ROW submissions. Respond to agency queries and coordinate with QA and R&D on deficiency resolutions.
Executive – RA Documentation,Delhi NCR,Regulatory Affairs,Full-time,OSD,B.Pharm,"Compile batch manufacturing records, master data, and labelling artwork for variations and renewals. Maintain registration trackers."
Warehouse Executive,Indore,Stores & Logistics,Full-time,Others,Any,"Manage RM/PM warehousing, FIFO/FEFO, and dispatch coordination. SAP or similar ERP experience preferred for pharma inventory."
Senior Executive – Raw Material Procurement,Baddi,Purchase & Procurement,Full-time,API,B.Pharm / MBA,"Source APIs and critical excipients, negotiate contracts, and ensure vendor qualification status. Monitor lead times and alternate supplier strategy."
Assistant Manager – Demand Planning,Visakhapatnam,Supply Chain,Part-time,OSD,B.Pharm / BBA,"Forecast finished goods demand, align production plans, and coordinate with sales and manufacturing on S&OP cycles."
Territory Manager – OSD (Domestic),Ankleshwar,Sales & Marketing,Contract,OSD,B.Pharm,Promote branded generic portfolio to physicians and chemists in assigned territory. Achieve prescription and sales targets with compliance to UCPMP.
Product Manager – Injectables,Kolkata,Sales & Marketing,Full-time,Injectables,M.Pharm / MBA,"Own injectable brand P&L, launch plans, and competitive intelligence. Work with medical affairs on scientific messaging and congress strategy."
CSV Specialist – IT QA,Nagpur,CSV IT QA,Full-time,Others,B.Tech / B.Pharm,"Execute computer system validation for MES, LIMS, and ERP interfaces. Draft URS, risk assessments, IQ/OQ/PQ protocols per GAMP 5."
Safety Officer,Ahmedabad,EHS,Full-time,Others,Diploma / B.Sc,"Implement site safety programs, incident investigations, and permit-to-work systems. Conduct training for production and warehouse staff."
Trainee – Production (Fresher),Mumbai,Production OSD,Part-time,OSD,B.Pharm / D.Pharm,"Rotational training across granulation, compression, and packing for fresh pharmacy graduates. Mentorship under GMP-qualified supervisors."
Officer – IPQA (API Block),Hyderabad,Quality Assurance,Contract,API,B.Pharm,"Batch disposition for API manufacturing, in-process checks, and cleaning validation support. Experience with hydrogenation or cryogenic steps is a plus."
